Slope_Angle,Elevation,Soil_Type,Rainfall_72h,Soil_Saturation,Landslide_Risk
27.0,867.7,2,54.1,38.6,30.9
5.0,2014.9,1,200.7,86.6,63.3
41.8,285.1,1,336.6,99.9,99.5
16.4,926.4,2,301.2,70.1,60.6
9.7,764.6,2,297.6,36.3,40.8
2.5,1101.0,2,287.6,35.3,37.4
29.7,1012.2,2,108.2,19.9,42.8
34.0,1146.4,3,311.7,21.6,46.2
1.3,316.4,1,329.5,92.8,66.4
25.8,1133.8,1,173.5,23.2,57.1
11.7,540.9,1,124.1,56.2,37.6
32.4,413.7,1,145.0,74.3,77.2
9.1,152.0,1,117.0,87.3,46.7
34.7,1680.2,3,74.3,29.6,28.3
19.6,946.1,1,216.5,52.2,65.2
46.9,1382.3,1,196.9,36.4,86.9
7.3,1603.4,1,161.9,36.7,32.4
17.4,1497.7,3,33.5,40.8,10.4
6.1,1040.4,2,278.9,64.9,48.7
46.3,859.5,3,61.2,16.4,33.2
43.9,833.4,3,40.1,49.7,32.4
13.3,1411.7,2,218.1,30.9,43.8
33.2,1093.6,1,139.5,97.2,82.4
41.0,1869.6,1,20.9,64.5,62.3
28.0,1925.6,1,124.4,88.8,71.3
26.7,383.5,2,270.1,31.6,62.4
12.5,308.4,1,215.3,83.9,71.2
5.1,1390.6,1,127.0,50.3,29.0
44.9,669.7,2,67.1,30.1,51.9
45.1,50.7,2,221.1,79.7,96.9
31.8,1956.1,2,310.6,79.8,85.1
17.3,506.9,1,226.2,99.7,77.2
17.8,2045.1,2,284.5,81.4,66.3
36.4,1581.2,2,182.5,27.3,68.1
44.9,1680.2,1,251.3,42.4,92.8
44.4,451.2,2,313.7,53.4,88.9
39.1,522.9,3,270.6,25.8,49.3
32.3,1151.6,1,318.4,82.0,95.9
4.7,386.9,1,150.9,59.8,34.1
8.5,678.9,2,316.5,95.3,60.6
45.0,714.0,1,217.5,65.1,99.5
30.5,359.6,3,304.5,59.4,47.5
1.0,459.4,1,13.8,21.1,1.3
5.5,1736.9,2,230.2,27.7,38.4
33.3,376.2,2,296.8,87.2,87.6
0.8,72.3,2,61.0,99.2,0.5
8.5,1388.3,1,231.6,50.3,52.1
27.7,2147.4,1,288.7,83.9,92.3
34.7,735.4,1,100.8,68.3,70.3
32.8,269.9,1,141.8,96.5,86.9
11.6,1259.1,1,199.3,35.2,44.0
35.8,1994.9,2,181.7,61.3,73.7
12.2,1727.1,1,13.7,49.7,12.4
16.6,1373.3,2,34.5,61.0,21.9
37.5,700.0,2,35.2,37.9,41.7
32.7,1196.7,2,91.8,57.3,50.2
42.5,209.8,3,86.1,68.1,38.7
33.1,1496.9,1,259.8,21.9,78.0
28.6,1598.0,3,200.5,78.2,49.7
5.1,2123.4,2,267.4,75.1,53.0
18.7,580.3,2,24.5,89.8,34.4
13.6,50.4,2,169.8,51.2,41.1
12.6,1204.9,2,113.3,20.2,23.2
48.7,1557.9,1,297.5,54.2,99.5
20.0,1741.0,1,247.7,26.7,59.1
44.7,434.3,2,304.2,70.0,92.8
31.7,583.2,3,16.2,19.0,14.7
39.8,1132.6,2,252.3,46.8,83.0
25.4,734.0,1,189.0,22.0,59.6
29.1,1894.5,2,288.8,15.3,63.2
24.9,1047.5,2,177.5,96.6,68.1
10.2,1761.1,1,189.1,99.7,65.3
36.3,1281.6,1,18.1,62.2,51.9
14.4,1703.1,1,234.0,35.3,53.7
1.7,738.6,3,95.6,92.4,20.2
32.5,1830.8,2,6.9,93.5,49.4
9.3,611.3,1,23.3,87.6,24.9
47.1,1206.0,1,335.0,61.3,99.5
47.7,478.7,2,121.1,21.3,62.1
45.8,1051.4,3,303.8,22.5,51.5
18.8,706.8,2,335.9,91.2,69.5
1.3,594.1,2,330.1,89.4,56.7
46.5,2127.7,1,308.6,51.9,98.7
21.7,360.6,2,313.2,42.9,56.7
48.3,1734.2,1,101.2,69.8,79.1
48.2,2165.3,2,53.0,83.6,65.1
42.7,53.6,1,223.7,77.2,99.5
15.1,1540.9,2,170.8,67.3,48.5
19.6,563.9,1,34.6,34.7,16.1
42.6,98.7,2,237.1,37.3,80.7
16.2,892.3,1,197.0,76.5,66.1
8.9,2058.1,2,302.1,83.2,58.5
28.1,35.8,2,213.2,24.9,61.7
46.8,1297.5,1,200.9,30.9,90.2
35.0,1108.1,3,154.3,72.8,46.2
28.7,1922.7,2,162.0,48.1,56.0
5.3,194.0,2,334.0,62.9,46.6
30.9,1502.5,2,48.5,67.3,44.6
49.5,1499.4,3,156.2,81.0,52.4
7.4,1475.3,2,229.5,83.5,57.3
26.2,2073.7,3,151.6,38.8,30.6
43.9,1812.6,1,99.1,61.0,75.6
37.2,101.9,1,100.6,25.5,60.7
35.0,1041.7,2,81.8,86.6,64.0
35.3,881.5,1,120.4,86.9,80.4
18.3,689.2,2,305.1,40.5,50.5
15.0,998.4,1,176.8,28.7,43.1
40.6,851.4,2,84.1,21.0,52.7
40.6,956.8,2,134.6,63.9,73.2
43.4,2154.6,2,37.0,22.8,47.4
45.7,204.1,3,316.4,72.9,61.1
25.8,2029.7,2,142.9,72.6,57.8
25.3,1061.7,1,343.1,67.2,77.3
40.0,1376.0,1,121.6,89.5,93.4
32.7,1828.1,1,292.7,47.2,88.2
35.2,799.4,2,89.7,91.7,68.8
39.9,952.6,1,26.7,18.1,49.1
44.6,906.8,1,11.1,24.6,51.7
17.2,830.7,3,212.2,50.0,34.5
19.1,2036.9,2,109.1,65.5,39.8
5.2,1825.4,1,155.2,17.8,28.7
29.1,248.7,1,286.5,63.2,84.3
2.3,246.8,3,86.8,41.1,5.7
23.5,947.0,3,108.0,90.4,36.0
27.4,226.1,1,295.9,60.3,80.2
14.7,1365.8,2,172.5,65.0,46.9
29.7,324.7,2,289.7,95.4,84.7
2.0,1154.0,2,131.1,80.0,36.0
2.3,25.8,2,139.4,52.3,2.7
41.2,703.3,2,58.5,55.5,57.8
18.3,1493.0,3,320.7,70.1,41.0
6.8,1070.0,1,313.9,32.0,44.3
26.4,2152.4,1,344.5,22.5,68.3
38.6,1924.3,2,140.9,41.5,64.7
11.2,796.4,2,286.5,81.2,57.6
31.3,109.6,3,145.2,36.9,34.4
4.7,1861.9,1,159.0,26.1,31.0
3.1,2005.6,2,290.5,33.6,38.1
26.8,1807.2,1,62.1,72.7,48.9
27.3,290.2,2,77.1,67.2,44.0
32.1,2195.4,1,110.2,73.5,69.8
36.4,576.3,2,275.9,42.4,75.4
48.8,1596.0,2,130.4,91.6,81.0
26.1,1998.6,1,125.4,53.4,51.7
16.5,526.2,1,349.6,58.7,64.4
39.9,1999.1,2,134.3,95.6,84.1
13.9,687.8,2,86.7,98.2,40.3
22.2,2148.3,1,218.1,71.2,79.7
4.4,626.0,1,280.7,95.3,65.7
1.8,2098.0,1,24.4,61.0,12.6
48.2,127.3,3,216.6,41.1,52.8
41.9,1563.3,1,12.5,41.8,53.6
35.0,1175.3,1,184.2,62.5,88.7
20.7,1056.6,2,89.9,66.4,38.3
9.1,499.5,2,107.3,52.4,23.3
8.2,1555.3,1,163.5,90.1,50.8
12.9,427.9,3,324.5,51.3,30.0
27.7,1220.7,2,248.7,38.2,59.8
35.9,564.6,2,327.9,15.7,71.3
33.2,2102.8,1,231.0,97.5,99.5
14.4,72.7,3,2.5,85.1,14.5
47.8,447.4,1,93.0,67.3,75.0
37.0,540.7,1,317.0,85.6,99.5
27.9,916.8,1,225.2,83.9,95.3
30.8,519.7,2,343.6,94.2,85.7
21.3,1086.1,2,54.6,47.8,27.0
12.8,1920.7,2,103.9,62.2,30.6
18.1,1569.4,1,126.8,23.4,32.3
38.0,1280.1,2,114.3,97.1,78.1
1.2,204.9,2,88.2,98.7,32.6
6.2,1529.8,1,155.2,82.1,49.1
2.8,374.4,2,224.8,53.6,47.4
2.5,1732.1,1,108.9,57.2,27.1
42.8,557.6,2,27.9,52.0,49.6
35.3,923.3,1,248.0,39.9,85.1
24.0,777.5,2,160.7,59.9,55.4
5.3,1890.8,3,194.8,19.5,23.1
24.8,287.1,3,159.4,99.3,43.1
23.9,1248.8,1,311.6,51.0,69.9
9.1,321.1,2,195.6,93.8,55.5
22.0,1553.5,1,323.1,76.6,77.7
20.2,1992.1,3,178.7,39.6,31.3
31.0,961.8,2,102.4,33.9,40.4
31.9,1078.9,1,124.4,99.6,81.1
2.7,2041.1,1,182.7,80.6,56.7
19.0,1151.0,3,185.5,36.2,27.4
31.5,1077.8,2,240.6,20.7,66.2
25.4,1276.5,1,78.6,74.2,50.4
42.9,1519.4,1,230.6,40.8,95.1
33.1,244.1,1,272.5,33.8,81.7
8.6,1808.2,2,236.8,77.5,57.1
4.0,963.8,3,168.6,72.7,26.5
32.3,168.4,3,347.1,55.9,51.0
1.8,1731.7,2,141.7,95.1,44.2
29.5,835.5,2,37.3,72.8,42.4
47.0,229.8,2,287.5,90.9,99.5
29.0,1398.0,1,74.3,31.2,42.1
19.7,1937.5,3,249.6,40.2,36.0
32.3,1954.2,1,62.6,23.9,44.8
23.2,2107.3,1,5.9,40.9,26.3
27.5,1910.3,3,55.9,97.6,32.8
47.1,14.7,1,131.9,96.8,95.4
19.6,842.7,2,37.3,79.6,34.2
48.1,1802.6,3,69.2,59.3,41.5
45.3,812.1,2,267.6,81.4,95.9
10.2,1327.4,1,269.5,62.0,58.4
3.9,1337.8,1,286.1,15.3,42.2
5.5,809.4,1,294.4,57.6,53.8
1.4,1990.8,2,147.2,65.9,36.2
5.2,1112.1,2,303.6,37.6,37.6
34.3,1027.9,2,184.1,32.3,66.1
4.0,2194.6,2,164.7,38.3,27.7
16.3,1090.8,2,251.5,68.0,58.3
42.3,400.7,2,74.8,27.4,53.2
1.7,1133.6,3,276.3,76.2,33.5
40.8,1792.7,1,150.3,50.9,80.7
14.5,1711.3,2,44.6,45.0,16.2
6.3,1737.0,2,41.8,83.6,21.8
35.0,1560.6,1,57.7,58.0,58.0
31.6,566.7,1,311.7,47.2,83.4
43.9,1898.0,1,346.8,89.6,99.5
36.9,1966.6,2,124.9,46.3,62.2
40.3,435.2,1,102.3,88.0,90.2
14.5,295.7,3,76.6,57.9,18.0
9.3,2146.6,2,288.3,32.7,42.1
37.7,1911.6,3,73.2,67.1,38.0
40.4,1966.2,1,323.4,39.3,93.1
49.5,1951.2,1,233.6,27.5,92.3
20.9,1196.3,1,314.0,22.4,61.8
18.9,1425.6,1,193.9,35.5,53.9
38.9,1204.3,3,241.7,77.6,60.3
17.4,122.1,1,216.8,86.2,76.2
46.6,1642.7,2,290.9,88.2,97.1
43.0,1116.7,1,292.6,38.0,94.2
21.7,1428.5,2,206.4,71.2,64.2
37.7,1110.8,2,221.4,34.6,75.8
37.8,1087.1,2,322.7,67.9,91.1
5.6,386.2,2,325.5,90.4,59.1
45.2,620.4,1,232.5,18.5,92.5
25.5,357.9,3,2.7,98.7,27.5
41.4,438.5,2,36.5,85.3,65.4
16.3,2140.8,2,300.3,79.7,61.0
44.8,345.3,2,29.6,73.8,57.1
19.8,599.7,3,74.7,80.5,25.1
1.0,1303.4,2,80.7,99.5,29.1
45.3,1346.3,2,210.1,80.5,95.1
5.0,347.2,2,201.8,44.9,36.4
16.3,1748.2,1,101.3,67.2,42.0
47.5,1729.6,2,72.7,43.6,53.5
47.6,529.7,2,267.6,97.5,99.5
28.9,642.2,2,327.4,91.5,83.2
31.8,2064.2,2,18.5,63.2,40.7
22.7,1818.2,1,46.6,81.4,40.2
15.0,1538.2,2,224.8,92.3,66.4
16.8,190.1,3,281.6,35.7,30.7
33.8,926.0,3,276.9,64.3,53.2
37.7,1234.9,1,251.9,55.9,94.8
39.7,420.4,2,310.6,80.6,96.7
39.6,991.6,2,76.1,47.2,57.4
5.0,1326.2,2,37.6,75.3,18.0
25.0,727.0,2,215.4,49.3,61.8
3.3,1720.3,3,287.8,24.4,23.7
27.7,1850.6,2,203.7,24.1,59.8
22.4,718.7,2,337.0,25.1,55.1
44.4,1846.7,1,278.4,17.8,92.5
17.9,236.8,1,245.3,60.3,66.7
6.3,1844.6,1,21.1,72.1,17.2
7.6,344.5,3,37.7,25.8,2.7
38.2,191.6,2,274.7,67.0,88.2
31.1,1415.5,2,69.4,65.8,49.1
5.5,1043.5,2,10.1,27.5,0.6
4.7,1998.3,2,318.8,49.3,45.2
35.2,805.4,2,311.8,79.2,90.2
4.1,638.9,1,76.5,16.4,11.7
41.2,1106.6,2,273.1,27.5,80.9
35.5,1008.5,1,16.8,99.6,61.8
4.5,764.3,1,99.8,77.4,33.9
4.7,1529.3,1,218.3,54.5,52.3
49.3,1673.4,1,267.1,68.5,99.5
19.0,1878.0,1,3.6,86.9,36.4
18.8,2140.6,2,114.2,86.6,46.3
40.7,594.0,1,75.0,42.6,61.2
47.4,1578.2,2,349.6,56.8,87.1
49.3,873.4,1,234.8,69.2,99.5
37.8,1492.8,1,142.0,21.1,68.2
19.1,1052.4,2,26.5,95.4,35.0
4.6,2186.4,3,209.5,51.8,28.2
39.0,1606.3,3,224.6,46.5,56.5
28.1,2096.0,3,285.7,92.1,53.8
21.5,1838.6,2,101.0,25.1,30.5
45.4,1987.4,2,343.5,18.3,78.7
6.0,1793.6,2,153.8,73.2,37.4
24.9,1015.6,2,103.6,47.7,40.0
1.1,561.4,1,122.0,80.0,38.4
23.7,821.0,2,181.9,20.8,49.8
3.3,54.3,1,327.8,47.6,6.5
6.4,1157.5,2,257.3,35.0,40.0
6.3,1116.1,2,202.0,77.9,52.1
32.6,1160.3,1,57.0,34.3,42.8
37.4,2143.1,1,52.3,53.9,57.2
29.4,2006.1,1,175.8,84.6,84.2
48.1,364.2,3,255.0,92.8,64.2
19.1,817.9,1,262.9,76.4,73.1
14.6,938.5,1,79.1,51.5,27.2
43.5,799.6,3,35.0,63.6,37.5
11.6,1758.7,2,134.6,73.6,37.5
48.2,1157.6,1,321.4,89.4,99.5
1.1,1262.9,1,190.9,90.5,62.5
48.5,1878.1,1,112.0,94.1,90.9
2.6,1775.0,1,113.3,83.9,40.4
44.6,299.5,1,46.2,27.5,53.2
26.6,1573.5,2,165.6,78.5,65.2
49.7,963.6,2,277.0,84.2,97.2
4.2,655.3,2,339.0,89.6,57.9
27.9,119.5,2,175.6,93.6,73.4
48.5,1077.1,1,58.5,58.3,68.4
26.4,788.4,1,239.0,70.7,84.3
31.7,560.8,2,264.9,15.8,66.8
34.9,1531.3,1,25.1,63.7,52.4
23.0,1695.2,3,297.5,55.2,39.5
31.6,546.1,2,290.3,96.8,86.1
29.4,118.3,2,165.4,91.6,74.6
45.1,1868.8,1,196.1,82.8,99.5
2.7,31.8,1,249.7,19.8,2.6
14.4,2062.3,2,236.9,49.2,49.4
47.5,1384.5,2,5.8,74.2,55.1
44.6,714.8,1,42.9,17.5,54.5
23.1,549.8,3,56.9,35.0,15.5
31.2,29.7,1,264.5,90.4,98.9
14.2,525.7,1,154.0,26.0,36.8
9.8,311.6,2,190.9,19.4,36.0
23.5,1350.6,2,270.4,64.3,65.3
18.0,374.7,3,119.3,95.4,29.8
29.4,1167.7,2,262.1,85.9,84.3
4.3,1302.4,1,154.8,97.9,53.4
48.7,662.7,2,132.0,79.0,79.1
49.3,86.8,1,116.6,52.2,76.9
35.1,91.6,2,337.7,95.5,95.1
27.0,67.7,2,270.2,51.3,65.6
15.8,1628.7,1,7.1,44.8,12.3
40.8,706.4,2,335.1,53.1,87.6
34.4,1753.9,2,271.4,84.2,86.9
8.5,955.5,2,52.2,93.0,27.5
45.6,1002.1,2,26.7,45.4,46.8
41.2,1133.2,1,107.9,54.3,75.5
47.5,1571.5,1,218.5,91.4,99.5
36.4,609.0,1,215.8,19.0,87.3
30.9,276.3,1,96.5,81.6,66.1
21.2,1227.8,2,156.0,53.6,48.1
46.7,726.1,3,74.2,47.0,35.2
43.4,979.1,2,17.7,53.0,49.6
2.7,1426.8,2,180.9,50.6,34.8
1.8,1092.1,2,121.4,79.3,34.5
19.1,1368.4,1,190.0,93.9,76.7
40.6,1201.8,3,331.3,56.8,57.3
49.4,1630.2,3,50.2,85.8,44.4
7.9,1556.0,2,0.7,77.2,16.8
29.9,1179.9,1,26.9,43.1,34.9
19.4,1496.8,2,161.9,64.9,50.4
48.5,1923.1,1,247.4,71.7,99.5
42.2,956.7,2,203.3,17.0,74.6
42.0,914.0,2,173.2,48.7,76.8
23.7,1683.7,1,123.9,99.4,64.0
21.0,1285.8,3,108.5,69.2,26.1
14.0,165.5,3,131.7,43.4,20.5
3.3,1963.7,3,214.1,36.3,26.9
43.3,77.4,2,58.7,32.8,48.9
40.7,1649.0,1,270.0,49.1,95.9
50.0,1671.8,2,201.3,31.4,76.0
49.8,2097.3,2,94.2,26.5,54.5
28.0,128.6,1,175.4,45.9,66.2
38.6,1317.1,2,337.0,66.6,89.1
47.3,947.0,2,7.2,27.4,42.7
42.6,734.1,1,69.8,18.8,59.7
12.7,207.8,1,156.9,17.9,36.3
22.8,1242.2,1,223.5,37.7,65.6
6.9,1059.1,2,74.3,31.2,9.8
47.7,239.0,2,326.0,60.8,94.3
30.5,1351.4,1,224.9,53.7,83.9
11.8,1626.1,3,307.1,42.6,30.5
33.7,1690.3,1,115.3,85.9,80.7
31.1,1992.8,2,290.1,57.9,74.7
18.2,906.7,2,132.4,22.8,30.9
6.1,2097.2,2,88.5,40.1,16.2
33.7,1905.3,1,319.1,97.7,99.5
26.3,659.3,3,32.3,98.0,28.6
38.7,358.8,3,330.0,36.6,53.7
26.2,963.5,2,160.5,29.2,47.6
42.7,890.2,2,347.4,57.1,89.4
27.8,1270.8,1,188.9,55.9,75.3
28.3,1287.6,2,265.1,49.9,67.8
43.9,1652.5,2,2.5,60.0,51.8
20.5,1126.7,2,173.8,34.7,44.6
7.1,239.6,2,258.1,24.8,38.4
1.9,1889.7,2,274.0,63.5,47.1
37.9,688.4,1,55.3,94.3,76.3
31.2,2137.1,1,146.6,26.7,60.2
35.4,268.1,1,146.7,74.9,82.8
11.0,2108.6,1,36.3,52.2,15.2
7.3,209.3,2,155.1,40.0,28.8
1.2,516.0,2,282.5,87.5,54.7
17.9,112.0,2,105.1,53.8,34.0
29.7,1554.2,2,151.4,64.6,62.1
19.9,1872.2,2,336.3,52.7,60.2
22.2,960.6,1,11.1,21.9,18.1
45.3,2043.5,1,207.0,65.6,99.5
17.7,1302.8,1,260.2,50.6,62.5
25.9,1389.7,2,266.3,22.4,59.2
39.3,1861.5,1,250.6,65.6,99.5
20.1,660.0,1,254.3,15.8,62.4
31.3,785.8,2,20.7,32.7,27.3
43.2,1994.0,3,186.9,81.4,59.8
47.5,1983.1,2,274.0,18.2,80.1
7.8,2148.5,2,32.9,70.0,16.4
46.4,1985.0,2,4.2,95.7,62.9
24.9,288.9,2,285.1,29.6,59.2
13.3,1814.0,2,249.3,50.5,50.4
23.2,907.5,2,144.3,63.9,52.8
49.0,2179.9,1,329.1,53.3,99.3
24.9,1044.3,1,268.3,67.7,79.8
16.8,1222.9,1,338.8,49.3,59.3
31.9,1170.2,2,325.3,27.6,70.3
12.4,714.6,3,168.5,22.6,21.3
4.3,174.3,1,264.1,78.3,61.4
6.9,1971.5,1,234.2,35.3,45.7
6.8,1767.9,3,284.0,87.0,39.2
8.0,315.6,2,275.7,78.2,54.2
7.4,1711.1,2,53.6,19.2,8.6
32.2,1380.6,3,81.8,32.1,26.0
9.5,906.0,2,93.0,39.8,19.4
17.6,566.3,2,286.5,65.5,58.9
44.9,1892.8,1,283.8,83.8,99.5
24.0,1543.4,1,173.4,20.1,54.6
33.5,1209.6,2,203.3,36.2,66.1
9.0,1345.0,2,289.4,47.0,42.5
10.0,209.4,3,109.4,30.6,11.3
2.5,1047.9,3,17.6,61.3,7.9
8.9,434.2,3,168.9,55.6,21.6
14.3,466.4,1,319.8,41.9,55.1
9.3,1458.3,3,276.7,58.9,32.3
4.9,2005.7,2,128.3,45.2,21.0
6.5,894.2,1,22.7,44.2,4.3
23.3,465.0,2,222.9,37.6,55.2
10.7,1430.8,1,292.1,60.9,58.8
18.5,1917.9,1,232.7,52.7,66.7
25.4,1648.8,2,148.8,31.7,45.8
34.7,1912.6,2,43.2,16.1,37.1
2.4,1185.1,1,318.8,27.8,42.5
40.1,1656.6,2,96.6,18.6,53.2
31.6,316.7,3,78.5,51.7,28.8
4.5,772.7,2,285.6,34.1,36.7
43.7,863.1,1,343.4,50.7,98.5
46.1,1129.7,1,231.1,43.0,95.3
